,loss,start_loss,end_loss,start_accuracy,end_accuracy,val_loss,val_start_loss,val_end_loss,val_start_accuracy,val_end_accuracy
0,10.612765312194824,5.372625827789307,5.240139007568359,0.014000000432133675,0.025499999523162842,11.476799011230469,5.743264675140381,5.7335333824157715,0.23800000548362732,0.257999986410141
1,10.084209442138672,5.155886173248291,4.928321838378906,0.025499999523162842,0.048500001430511475,10.647335052490234,5.37660551071167,5.270730495452881,0.024000000208616257,0.02800000086426735
2,9.669785499572754,4.963159084320068,4.706621170043945,0.04800000041723251,0.06849999725818634,9.939471244812012,4.892488479614258,5.046982765197754,0.21199999749660492,0.024000000208616257
3,9.241240501403809,4.756807804107666,4.484434604644775,0.06949999928474426,0.09749999642372131,10.832161903381348,5.412787437438965,5.419374942779541,0.026000000536441803,0.029999999329447746
4,8.726900100708008,4.474532604217529,4.25236701965332,0.09799999743700027,0.11649999767541885,11.348377227783203,5.597548961639404,5.750828742980957,0.01600000075995922,0.00800000037997961
5,8.06382942199707,4.095656871795654,3.968170642852783,0.14300000667572021,0.1379999965429306,11.44625186920166,5.703211784362793,5.743041038513184,0.03200000151991844,0.029999999329447746
6,7.521700382232666,3.828916072845459,3.692782402038574,0.1665000021457672,0.17649999260902405,12.490979194641113,6.210270404815674,6.280709266662598,0.035999998450279236,0.03200000151991844
7,6.919071674346924,3.4899988174438477,3.4290730953216553,0.1914999932050705,0.2045000046491623,13.299360275268555,6.729630947113037,6.569729804992676,0.024000000208616257,0.024000000208616257
8,6.3608717918396,3.220043182373047,3.1408274173736572,0.21199999749660492,0.2150000035762787,12.989733695983887,6.527937889099121,6.461794853210449,0.012000000104308128,0.017999999225139618
9,5.808769226074219,2.9179086685180664,2.8908610343933105,0.2529999911785126,0.25049999356269836,12.949600219726562,6.462850093841553,6.486752033233643,0.052000001072883606,0.03200000151991844
10,5.241727828979492,2.621464729309082,2.620262384414673,0.29350000619888306,0.2750000059604645,14.322513580322266,7.013885974884033,7.308628082275391,0.029999999329447746,0.029999999329447746
11,4.764046669006348,2.3826897144317627,2.381356954574585,0.32199999690055847,0.31349998712539673,15.653341293334961,8.152074813842773,7.501264572143555,0.035999998450279236,0.052000001072883606
12,4.338415145874023,2.151568651199341,2.1868467330932617,0.359499990940094,0.34549999237060547,16.589366912841797,8.12865924835205,8.460708618164062,0.026000000536441803,0.035999998450279236
