,loss,start_loss,end_loss,start_accuracy,end_accuracy,val_loss,val_start_loss,val_end_loss,val_start_accuracy,val_end_accuracy,val_accuracy,accuracy
0,17.42239761352539,6.135165691375732,5.957253456115723,0.0,0.0,5469.5146484375,2790.64404296875,2673.541748046875,0.0,0.0,0.0,0.0
1,11.812063217163086,3.2578728199005127,3.225407838821411,0.1071428582072258,0.0714285746216774,19499.40234375,10005.0595703125,9489.013671875,0.0,0.0,0.0,0.0892857164144516
2,10.688730239868164,2.670383930206299,2.6900649070739746,0.1785714328289032,0.2142857164144516,67937.8671875,32780.359375,35152.1796875,0.0,0.0,0.0,0.1964285746216774
3,10.142338752746582,2.3906538486480713,2.423818588256836,0.25,0.25,103130.6640625,52359.05078125,50766.2890625,0.0,0.0,0.0,0.25
4,9.281309127807617,1.9679125547409058,1.9859646558761597,0.3571428656578064,0.3928571343421936,92790.2734375,47049.31640625,45735.62890625,0.0,0.0,0.0,0.375
5,8.549360275268555,1.6097251176834106,1.6127783060073853,0.5357142686843872,0.5714285969734192,51873.6953125,26381.30078125,25487.0703125,0.0,0.0,0.0,0.5535714328289032
6,7.9359612464904785,1.3057501316070557,1.3041017055511475,0.7142857313156128,0.6785714030265808,24123.35546875,12348.8046875,11769.224609375,0.0,0.0,0.0,0.6964285671710968
7,7.4170918464660645,1.04716956615448,1.0447577238082886,0.7857142686843872,0.6785714030265808,12498.0087890625,6455.0966796875,6037.58740234375,0.0,0.0,0.0,0.732142835855484
8,7.103449821472168,0.9091293215751648,0.8703160881996155,0.75,0.75,5637.1328125,2873.860595703125,2757.94970703125,0.0,0.0,0.0,0.75
9,7.035297393798828,0.9080740213394165,0.8045365214347839,0.75,0.8928571343421936,4254.40185546875,2162.0732421875,2087.00732421875,0.0,0.0,0.0,0.8214285671710968
10,6.777756690979004,0.7306605577468872,0.7257800698280334,0.8214285969734192,0.7142857313156128,3121.640625,1606.7491455078125,1509.5716552734375,0.0,0.0,0.0,0.767857164144516
11,6.374356746673584,0.5263182520866394,0.5282840132713318,0.8571428656578064,0.8571428656578064,2001.70703125,1019.8746337890625,976.514404296875,0.0,0.0,0.0,0.8571428656578064
12,6.014870643615723,0.3557216227054596,0.3411746025085449,1.0,0.8928571343421936,1319.5537109375,664.8486328125,649.38916015625,0.0,0.0,0.0,0.9464285671710968
13,5.876557350158691,0.2934597432613373,0.26716622710227966,0.9642857313156128,0.8928571343421936,775.13232421875,387.7785949707031,382.0401306152344,0.0,0.0,0.0,0.9285714328289032
14,5.754528045654297,0.24829907715320587,0.19258643686771393,0.9642857313156128,0.9642857313156128,518.9657592773438,261.9046325683594,251.75001525878906,0.0,0.0,0.0,0.9642857313156128
15,5.548030853271484,0.1283826231956482,0.10855244845151901,1.0,1.0,355.7507019042969,178.5795135498047,171.86297607421875,0.0,0.0,0.0,1.0
16,5.445995807647705,0.07802584022283554,0.05975116044282913,1.0,1.0,239.3662567138672,119.09520721435547,114.96604919433594,0.0,0.0,0.0,1.0
17,5.377738952636719,0.041537486016750336,0.031205324456095695,1.0,1.0,168.81607055664062,83.00386047363281,80.51080322265625,0.0,0.0,0.0,1.0
18,5.3470964431762695,0.025087030604481697,0.020603278651833534,1.0,1.0,124.24862670898438,60.15067672729492,58.80050277709961,0.0,0.0,0.0,1.0
19,5.326768398284912,0.01571446657180786,0.013612204231321812,1.0,1.0,96.1308364868164,45.69451904296875,45.14321517944336,0.0,0.0,0.0,1.0
